scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,paragraph,label,source,length_approx,singlebott,word_count,number_of_types
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"We're focused on continuing to expand our ethnic programming options,” said Jenny Parker, a spokesperson for    AT&T U-verse. “It's important for us to be able to offer  content that speaks to the interests of our diverse customer base.”      ",0.0,0,16.0,1.0,43,0.2
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Perhaps more with the mobile phone than any other consumer electronics device,  content is obtained from a variety of sources,” ABI research director Michael Wolf said in a statement. “This shows that despite the strong control most carriers retain over the network, their control over the mobile  content ecosystem remains limited. The consumer will see more and more options for obtaining rich  media in the future.”   ",0.0,0,21.0,1.0,72,0.4
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Invidi Technologies, a Princeton, N.J.-based addressable broadband advertising provider, has named Christopher R. O’Toole chief financial officer. He comes from hotel pay TV provider On Command, where he was senior VP, CFO.      ",0.0,0,22.0,1.0,35,0.1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"Comcast further positioned itself as proactively and responsibly addressing peer-to-peer applications, announcing it will lead an industry-wide effort to create a “P2P Bill of Rights and Responsibilities” for users and Internet-service providers.",0.0,0,41.0,0.0,32,0.4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Rather than trying to be a YouTube-like destination site, the company’s goal is to be a community site for filmmakers. It makes sure only serious (or semiserious) filmmakers apply, by charging a $10 contest-entry fee.",0.0,0,48.0,1.0,35,0.3
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Concerned that on-demand replays of the games will cut into audiences for the network's own replay telecasts, the networks are understandably trying to find the best way to offer viewers more value while protecting their own business interests.",0.0,0,52.0,1.0,38,0.3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"At Current, viewers can vote  online to determine what the top stories are during any given hour. As a result, the programming, much of it viewer-generated, can shift in various directions and the amount of green  content can vary.",0.0,0,56.0,1.0,41,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"Potential producers have an incentive to participate: If a spot they create is selected for posting  online , the producer gets $2,500. If a commercial is good enough for the television channel, the producer gets $60,000.",0.0,0,76.0,1.0,37,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"As for  Disney ’s upcoming schedule, the network will debut its next musical-oriented  film , Camp Rock on several platforms beginning June 17. The movie, featuring The Jonas Brothers and Lovato — who currently stars in  Disney ’s sitcom short As The Bell Rings — will premiere on  Disney On Demand June 17 before debuting on  Disney Channel June 20, said network officials. The movie will then air over the next two nights; first on broadcast network ABC and then on ABC Family, said Marsh.",0.0,0,78.0,1.0,90,0.2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Following each episode of Frozen Planet , three minutes of exclusive behind-the-scenes footage will show viewers exactly how filmmakers secured the  series ’ most memorable images. Additional behind the scenes stories and  video , and in-depth information about our planet and its animals and habitats, will be available in the Frozen Planet Web site on  Discovery .com. The site will also include a news feed, photo gallery and informative games and puzzles.",0.0,0,80.0,1.0,75,0.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"The latest wave of ads, which kicked off in recent weeks, plugs NBC’s cross-platform plans. NBC must explain how to access the expanded coverage and direct users to the Web for localized listings. Most important, NBC is hyping its primetime network coverage, including Phelps’ chance to make Olympic history. “His story will unfold live in primetime for eight nights. It is almost like a serialized  drama every night,” said Mike McCarley, vice president of strategic marketing, communications and promotion for NBC Sports and Olympics.",0.0,0,20.0,0.0,85,0.3
