stage,index,year,version,page,paragraph,2500Bott,singlebott,bott_list,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transcational,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,transactional,Song_Column_5,Z
2.0,80.0,2009.0,April-May-2009,38.0,"Also notable are what appear to be emerging mythologies. For one, while everyone talks about cannibalization of eyeballs from the TV to the PC, little or no data supports it—at least not yet. Rights issues, while still key, are quickly being fixed with new contracts that start to address online content (remember that digital rights issues were a major part of the 2007 writers’ strike, and the cost of not managing these rights is apparent). And technology, while still a challenge in some respects, cannot be used as an excuse anymore. Advances in streaming technology, transcoding, HD, ad insertion, and localization mean fewer reasons to wait. More important than knowing what might go wrong is understanding what is right about online content, and I’ve witnessed multiple approaches, none of which are perfect nor the final answer for the industry. ",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
0.0,160.0,2009.0,April-May-2009,58.0,"The Player After uploading and organizing your videos, you’ll want to turn your attention to the playback side, more specifically, the player and video window options. With these options, most vendors offer the ability to create a branded player with all the normal playback controls and embedding and email options, if desired. Another common feature is the ability to embed a single player in a page and, perhaps, the ability to create a video library for viewers to click through, such as the Kohler library shown in Figure 4.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1 qos,200.0,2009.0,April-May-2009,66.0,"Both U-verse and FiOS will offer remote DVR control, through which users can program their DVRs over the web or through mobile devices. And because they control their own networks, telcos can offer the quality of service (QoS) that consumers have come to expect from their television content providers. But as telcos spend billions upgrading their networks to deliver their own IPTV services, internet TV that is delivered “over the top” (OTT) of existing networks gets a free ride. Telcos that try to filter OTT traffic, limit OTT QoS, or charge a premium for network access risk running afoul of the principles of Net Neutrality. ",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,80.0,2009.0,August-September-2009,14.0,"The Five Man Electrical Band’s 1971 hit “Signs” has a line that sums up what most people think of when they hear about digital signage: “Do this, don’t do that, can’t you read the signs?” Digital signage is thought of as flat panels hung in airport gates, hotel lobbies, or other places where text must be constantly updated. In reality, digital signage is an industry that has evolved in parallel to streaming, with a variety of technical offerings that offer clues about how streaming might address its next challenge: moving beyond HD delivery.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,120.0,2009.0,August-September-2009,22.0,"As I have written before, I don’t expect to see a big decline in pricing this year.The CDNs all know that they can’t give this stuff away; they have to have some profit margin.And if pricing declined 35% for the average customer last year, I think we’ll see only about a 15% decline this year, on average.The content delivery business is all about the economies of scale.CDNs have to multiply the volume of traffic on their network many times over before the next round of major pricing discounts can take place.I think it will be the first or second quarter of 2010 before we once again see a big drop in pricing across the board.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,240.0,2009.0,August-September-2009,38.0,"Relying on YouTube does mean working around certain restrictions. Barats and Bereta had to remove one video that used a copyrighted song, and Stuckey and Murray also got into trouble for a parody.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,320.0,2009.0,August-September-2009,49.0,"However, according to John Bishop, senior vicepresident of business development and strategy for InletTechnologies, who was briefed by Apple, Appleannounced no plans for a Windows version of anyadaptive-bitrate-streaming-compatible player or abackward-compatible player for previous versions of OSX.Obviously, this doesn’t mean that Apple won’t ship aWindows player next week, but until the companydelineates a strategy that will lead to significantpenetration within the installed base of Mac andWindows computers, the Apple solution seems relevantprimarily for iPhones.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,360.0,2009.0,August-September-2009,54.0,"In any case, WiMAX may face a more immediatecompetitor before LTE makes the scene.AT&T and otherHSPA networks can delay the heavy lifting required forLTE deployment by adopting HSPA+ (HSPA Evolution),an intermediate, lower-cost upgrade that can squeeze3Mbps–5Mbps on the downlink and 1Mbps–3Mbps onthe uplink when combined with MIMO (Multiple InputMultiple Output) technology.The HSPA+ option is notavailable to CDMA/EV-DO operators.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,120.0,2009.0,December-2009-January-2010,28.0,"MONETIZATION AND SECURITY CONCERNSDoes the service support your monetization businessmodel? For example, if you’re webcasting for leadgeneration, can you capture names and email addresses limited camera equipment, AV, or even IT skills.If you’retrying to host a high-quality event, factors such as lighting,microphones, and capture settings can make a hugedifference in quality, and you’ll likely want some help foryour first one or two events, perhaps for all of your events.Some live streaming service providers can send atechnician with all necessary equipment to your door fora turnkey webcast, but most can’t.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,160.0,2009.0,December-2009-January-2010,33.0,"Two final thoughts for choosing a rich media system: First, the system should quickly and easily convert the live presentation into an on-demand presentation. Second, if employees frequently hold training or other presentations, the system should offer a media management solution that helps organize and present the content in a searchable format, with user tracking and reporting, and certification and testing. ",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
