labels,index,year,version,page,2500Bott,singlebott,scarcity,cognitive,external,internal,coordination,technical,demand,2500partner,singlepartner,advertising,nonuniform_progress,performance_constraints,user_heterogeneity,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",end_users,external_partners,substitutional_partners,paragraph
2.0,400.0,2012.0,20122013.0,69.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"The answer to meeting these changing needs lies in workflow management solutions that provide the flexibility and intelligence users need to achieve efficient content preparation, packaging, and distribution. This past year we introduced GPU-accelerated transcoding and packaging products specifically to address the multiscreen distribution challenge. We look forward to solving more of these challenges for new markets and workflows."
1.0,120.0,2008.0,2008.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Crowe: We will certainly be very competitive on price. However, we have two other major advantages over most of the new entrants: scale and quality. We expect that many of the newer entrants will struggle to achieve a sustainable business model and, at the same time, provide the large and rapidly growing capacity that larger object (i.e., video) CDNs require. The customers we talk to are increasingly concerned about a provider’s ability to scale—today and more importantly tomorrow. We have already answered the question of our ability to scale. With regards to quality, we are use[d] to building and operating very large IP networks. We know how to operate them while keeping the performance and availability levels very high. All of the independent performance measures on our traditional services as well as our CDN places our products amongst the best performing in the industry."
0.0,600.0,2016.0,2016.0,93.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Managing the Flash-to-HTML5 Migration Flash playback became the “ring around the collar” (#showingmyage) for most enterprise systems in 2015, and many vendors aggressively moved to reduce or eliminate their Flash dependencies. However, many corporate YouTube systems enable a level of interactivity that makes implementing the equivalent feature set in HTML5 a complicated undertaking. "
0.0,200.0,2023.0,2023.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Krefetz: When I went to your site, I didn’t see any ads. Are you running ads on all video starts or only live content?"
2.0,120.0,2008.0,2008.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"Syndication Deals Syndication deals also continued to make news throughout 2007. Two categories, though, deserve special interest: “made for internet” video content and podcasting. Both of these nascent markets have seen rapid growth in the short term."
0.0,80.0,2021.0,2021.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"ATSC 3.0: A Game Changer for Broadcast? Futuresource Consulting estimates that there are more than 1 billion smart TVs installed worldwide, as consumers become increasingly reliant on TV delivered OTT. The 2020 rollout of ATSC 3.0, which began with stations in Las Vegas in May, gives broadcasters the ability to multicast audio, video, and data on a scale they were never able to before. ATSC estimates that by the middle of 2021, ATSC 3.0 will reach another 61 markets across the U.S., which collectively would mean next-gen TV reception for more than 70% of all viewers."
0.0,240.0,2019.0,2019.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Telcos are also trialing virtual reality (VR) harnessed with 8K live streamed over the network. Deutsche Telekom made a world first broadcast of live 8K mobile 360° streams of a  basketball event in tandem with MediaKind earlier this year. Orange and France Télévisions, along with Harmonic, tested the same over 2 weeks at the French Open, mostly to devices spread over the stadium. Both used tiling technology to encode and send over the network just the parts of the image the viewer is looking at."
1.0,240.0,2008.0,2008.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"The H.264 Standard Briefly, H.264 is a video compression standard known as MPEG-4 Part 10, or MPEG-4 AVC (foradvanced video coding).It’s a joint standard promulgated by the ITU-T Video Coding ExpertsGroup (VCEG) and the ISO/IEC Moving Picture Experts Group (MPEG), and it has the full weightof both organizations behind it, delivering plenty of marketing momentum."
2.0,120.0,2012.0,2012.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"The good news: As 2012 progresses, streaming media continues to reach more viewers worldwide than ever before. It appears that this growth will continue as increasingly more people watch content on web- and mobile-connected devices."
0.0,240.0,2017.0,2017.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"A broadcaster’s cable-cutting customer watches their favorite sports team live online, but learns what happens from social media before they see it in the actual “live” video stream. Talk about spoilers!"
