scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,paragraph,label,Bottid,word_count,number_of_types
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"I know that’s a lot of money in absolute terms, but is it enough in terms of the infrastructure to pull this together? I don’t know,” Berke said.",0.0,1,28,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The lion's share of our programming will be deep library programming, augmented by originals, but not at the scale we're seeing at  SVOD . We're not promoting A Handmaid's Tale or Yellowstone,"" Nallen said",1.0,17,35,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"Freeman: Ben, why is YouTube Red putting  content behind a paywall?",0.0,9,20,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"The device also includes a digital  video recorder feature. However, instead of storing the DVR recordings locally, it uploads them to a Boxee-operated network server. Boxee plans to launch the “No Limits DVR” service with unlimited storage in eight U.S. markets, for $15 per month.",0.0,0,46,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"Meanwhile, Fox Sports shook up golf’s TV-network establishment, holing a 12-year deal with the United States Golf Association for the U.S. Open. The deal, which tees off in 2015, is worth a reported $100 million annually — more than double the combined $37 million NBC Sports and ESPN have been allocating.",1.0,0,51,0.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"During hearings on the applications, Cox’s regional vice president of government and public affairs, John Wolfe, argued the terms suggested by Verizon were not equivalent to the service levels provided by Cox. For instance, incumbent Cox must provide  video service to public buildings. If that standard is not applied to new providers, the cable company should receive regulatory relief, he said.      ",0.0,11,65,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"For 2024, excluding special events like the Olympics and the election, Magna sees all U.S. ad spending rising 5.6%, compared to the previous forecast of 5%.",1.0,0,26,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"The program's goal was simple: bring together the major studios and companies specializing in cloud technologies, putting both on the same page going forward, to help facilitate cloud-based  content creation, production and distribution endeavors. Since its launch, ETC@ USC has brought cloud  content heavyweights such as  Google and IBM's Aspera on board to weigh in. It has also championed the Cinema  Content Creation Cloud (C4) open-source framework for  media production, which offers up a unique digital ID for  content files.",1.0,14,86,0.2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"As if traditional pay TV companies don’t have enough headaches from all the new over-the-top upstarts such as Sling TV and Sony’s PlayStation Vue — not to mention HBO Now’s recent debut on Apple TV devices — the nation’s cable, satellite and telco TV distributors have another new over-the-top threat to contend with: TV antennas.",0.0,10,55,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Rosenworcel had agreed to the lookback after she was queried during her nomination hearing in the Senate Commerce Committee this week by Sen. Amy Klobuchar (D-Minn.), who has heard from independents about the difficulties of negotiating carriage with distribution platforms.",0.0,11,40,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The main struggle is just the ocean of noise that is online content now. More content is uploaded to YouTube every day than any one of us could watch in a lifetime. The biggest struggle for us is how do you cut through that noise and stand out among everything else? We’re really trying everything that we can think of under the sun to cut through and get people to take notice of our project, because we strongly feel that if people do give us the time of day and sit down and watch it, they will like what they see. ",1.0,0,102,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"Pai emphasized his  media -ownership review last month at the NAB Show in Las Vegas, but that's part of a congressionally mandated quadrennial review of ownership regulations. Congress also mandates a periodic review of telecom regulations, but there is apparently no such requirement for a review of  media regulations in general.",1.0,16,53,0.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,But fi rst it needs to know whether or not the Federal Communications Commission will loosen duopoly rules and allow LIN to own stations it is now running through sharing arrangements.,0.0,11,31,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"ESPN will also offer more than 40 FIFA World Cup contests in Portuguese in the U.S., part of a multi-language strategy to reach out to U.S. fans.",1.0,19,27,0.2
