scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,paragraph,label,bottid,word_count,number_of_types
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Everything about television is changing,” Rockefeller said Wednesday of the hearing. “People are watching all sorts of programs on an assortment Df platforms, at different times of the day or night and without the traditional boundaries of television channels. The digital age is fusing the television screen with the computer screen, and it’s important to explore this topic. I want to focus this hearing on what these changes mean for consumers, especially in rural areas, and if this evolution of  video can bring them higher quality  content at lower rates.”",0.0,0,92,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Charter Communications, whichhas a new CEO in former Cablevision Systems chief operating officer Tom Rutledge, will again focus on cutting customer losses. Swinburne predicts the MSO will shed about 23,000 basic  video customers in the period, comparable to the 25,100 basic customers it lost in 2010. Aggressive promotions will help drive Charter subscriber metrics, according to ISI Group  media analysts Vijay Jay-ant and Judah Rifkin. In a research report, the two analysts noted that a pair of aggressive high-speed-data promotion plans — one that delivers speeds of 15 Megabits per second for $20 per month and another that delivers 30 Mbps for $30 per month, compared to other MSOs that offer similar speeds for $49 and $59 per month — has been “wildly successful,” andshould drive strong growth. But that could come at aprice — while HSD additions are expected to be about 50% higher than in the prior year, cash flow growth will lag analysts’ consensus ex-pectations.",0.0,1,127,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,"What began as an IT job at a small semiconductor company in college has blossomed into a full-fledged career managing  video -processing equipment for Tom Lattie. Throughout his career at Harmonic, Lattie has been instrumental in successfully conceptualizing and executing encoding, transcoding, stream processing,  media server and  media -management product lines — all of which help to deliver today’s consumers a high-quality viewing experience on any device.",0.0,0,70,0.3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"FiOS nowrepresents 63% of Verizon’s consumer wireline revenue — or about $2.2 billion for the first three months of 2012 — up from 54% a year ago. Consumer wireline revenue grew a modest 1.7%, while Verizon’s overall wireline segment (which includes enterprise and wholesale) posted operating revenue of $9.9 billion, a year-over-year decline of 2%. The wireline business “is a drag on growth and a drag on value, and it still accounts for almost half of proportionate revenue and 70% of invested capital” for Verizon as a whole, Sanford Bernstein senior analyst Craig Moffett wrote in a research note.",0.0,0,99,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,The co-op also said chief financial officer Corey McCarthy will take on the additional role of senior VP of business development.,0.0,1,21,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Harmonic's ProView 7100 IRD supports up to four MPEG-4 channels with auto-transcoding to MPEG-2.,0.0,5,19,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Gaiski: Leading up to that, we had had two really big meetings with [ Disney and ESPN Networks Group executive vice president of affiliate sales and marketing] David Preschlack and his group. Then we had a hiatus where we all went back to think about and talk to our management about how we were going to work this out It was probably mid-October-ish that they brought the buses in and we began to really spend a lot of time together.",0.0,8,80,0.1
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"But Skitter does not have permission to carry KPTV's signal, vice president and general manager Patrick McCreery said. “We don't have a retransmission agreement in place with that company,” he said. “Frankly, there's quite a bit of confusion about what they intend to do.”",0.0,8,44,0.2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,"Service rep No. 1 felt my pain but couldn’t authorize the fix I wanted: to replace an oft-repaired phone with some other, similar but different, phone. Rep No. 2, same thing. The loyalty card wasn’t the trump I thought it would be. Rep No. 2 pointed out that all carriers have similar warranty agreements with equipment makers, so if I switched I’d face the same dilemma. Logic was on rep No. 2’s side.",0.0,8,73,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"While phone customers are rapidly cutting the cord, the pace of customers expected to sever their pay TV service ties is expected to decline slightly in 2012, said a second Convergence report, The Battle for the American Couch Potato:  Online & Traditional TV and Movie Distribution.”",0.0,10,47,0.1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"After listening to Peter, other strategists, engineers and a great panel of veteran headhunters, you begin to understand it's not enough for employees to want to be innovative. Desire without action is inconsequential. Innovation does not always come top-down — nor does it always come bottom-up. And it hardly ever comes when people's vision is clouded with pessimism. It only comes if everyone believes. ■",0.0,1,65,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"This has been evolving over time, but this spring we are doing outdoor programming in a bigger way than we ever have,” senior vice president Kathleen Finch said. “The ratings and our research show this is what viewers want.”",1.0,17,39,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The show would bring together celebrities, writers, dancers and even doctors. In a recent episode, Don Francisco stunned millions by doing a one-on-one with Mexico's tattoo diva, María José Cristerna, who explained why she decided to go through body modification after years of domestic abuse.",1.0,17,45,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"We wouldn't do a show or not do a show because it had a Muslim affiliation or a Jewish affiliation,” bassist Branden Campbell told The Wire from a tour stop in San Diego. “It's about the music, and they want to share stories about great bands.”",1.0,17,46,0.1
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"For Cox, it’s always been about how they treat people. Their commitment to their customers and employees is legendary. It’s the little things that help keep their staff happy. They make their lives just a little easier, which makes doing their jobs easier. And for years, Cox was the only company that conducted customer research. Their branding campaigns are in CTAM’s Hall of Fame. They took marketing to another level.”",0.0,0,70,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Disney Channel, with its lineup of live-action shows like A.N.T. Farm and animated hits like Phineas & Ferb and Gravity Falls, is poised to sweep all major kids-targeted demos duringthe sum-merforthe firsttime ever. A breakdown of ratings in three major kids’ demos overthe past six years:",1.0,19,46,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Disney has some winning shows, no doubt. 1 confess I can barely pull my kids from the lat-est  series , Gravity Falls. I catch myself laughing at its innocent-but-quirky humor.",1.0,19,31,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,KL: We don’t talk about suppliers. But we have stated publicly that we built the devices ourselves.,1.0,15,19,0.1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,"The FCC’s conclusion came in its latest 706 Report, a congressionally mandated update on the state of advanced communications deployment. The agency’s findings did not sit well with Republican FCC commissioners, who dissented from the report; Hill Republicans, who called for FCC reform; or a host of industry players.",0.0,11,49,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Viewers have been incredibly loyal to Nick Jr.,” said O’Keefe. “Anytime you do something new you have to be prepared for that, but we have a lot of offerings for preschool kids  online and on VOD, so if they happen to be up at that time we have other platforms within the Nickelodeon family to direct them to.” )",1.0,19,60,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Another attractive feature of TiVo’s solution is its ability to deliver IP  video , Pascarelli said, and the Pace XG1 eventually is expected to include a transcoding capability to stream cable TV to any IP device in the home.",1.0,12,40,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,One of the reasons the FCC cited for adopting the rules was so that ISPs would not be able to discriminate against the delivery of  online content by competitors.,0.0,0,30,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Viggle, however, claims the rewards program works — and works very effectively. The company cites its recent promotion for Fox’s primetime  drama Touch. After Viggle began offering users 350 watchpoints to tune in to Touch, viewing among Viggle users tripled, even though the show’s Nielsen ratings declined over the same period.",1.0,15,52,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Google ’s staggered schedule reflects the labor-intensive process of building a physical network and connecting residences literally one at a time. Moreover, the company warned that it may encounter delays.",0.0,2,30,0.2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"At a high level, Aereo is a technology company, not a  subscription -TV provider, Kanojia said. “We don’t sell programming,” he said. “We charge for access to our infrastructure. The beauty of the cloud implementation is that the cost of that infrastructure is low and continues to drop.”",1.0,14,49,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The Hype: Millions of people have an old-fashioned, dumb HDTV — and aren’t going to spring for an Internet-connected set anytime soon. New set-top-on-a-stick devices from Roku and Japanese tech firm IMJ are designed to plug into legacy digital sets to instantly turn them into app-enabled “smart TVs.”",1.0,15,48,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Ovation TV last week said Time Warner Cable intends to drop the network, which the No. 2 MSO then confirmed, sayingthe channel was low-performing and ran numerous repeats and inf omercials. Ovation countered that it is producing more original  content and supports the arts in TWC communities, among other places. On Wednesday, local arts organizations and politicians rallied in front of New York City Hall to speak on Ovation’s behalf.",1.0,0,71,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"MCN: Instead of buying  Netflix , could you instead just become them, in the sense that you already have VOD capability and  content libraries?",0.0,1,26,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"Given its arsenal, there can probably be no true national competitor to the behemoth that is ESPN, but Fox’s push into 81 million homes changes the dynamic for NBC Sports Network and the burgeoning CBS Sports Network. Being No. 2 here wouldn’t be such a bad thingfrom the perspectives of profile and profit.",1.0,17,53,0.2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"He said CBS has had a couple of years of closely watching the  Netflix impact on network advertising, syndication (where CBS proce-durals are popular) and retransmission-consent revenue, and the network has decided to go after more  SVOD gains. “Frankly, we’re going to be more aggressive, because the realization is, through a couple of years, it’s not going to affect those things in a negative way.”",0.0,1,67,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"TAKEAWAY Pay TV operators are rushing to make more  content available across more screens to subscribers in their homes, but there remain gaps in channel lineups and device support.",1.0,15,30,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Included was retransmission consent for NBC’s 10 broadcast stations; a comprehensive TV Everywhere deal for  online rights to all of NBCU’s pay TV networks and the Olympic Games; and several regional sports networks, including Comcast SportsNet Philadelphia, Comcast Network Philadelphia, Comcast SportsNet Mid Atlantic, Comcast SportsNet New England.",1.0,16,49,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"The bill directs the National Academy of Sciences to report to Congress, the FCC and the Federal Trade Commission on the impact of violent  video on kids’ development and well-being. The study wouldn’t have to be completed for 18 months, a time frame that sounds like kicking the can down the road again. But Rockefeller is not likely to leave things at just an 18-month study, considering that studies are often characterized as a way to take action without actually taking action. The committee source said the bill was a first step, and Rockefeller would be looking at a host of related issues in the new Congress, though he has not decided just what that next step would be. Elsewhere on Capitol Hill, Rockefeller was joined by Reps. Ed Markey (D-Mass.) and Joe Barton (R-Texas) at a press conference where the FTC announced updates to child protection laws.",0.0,11,127,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"With cable stocks on a roll — the MSO sector is up 36% so far this year and programming stocks have added 35% to their value — money cheap and banks willingto lend it, the deal market could heat up again in the cable sector. Already, Cablevi-sion Systems is exploring a possible sale of its Optimum West division — the former Bresnan Communications — because of several unsolicited offers it had received for the properties.",0.0,1,75,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Meanwhile, Verizon Communications now is  streaming up to 75 live TV channels to FiOS TV and Internet subscribers on iPad tablets and LG’s Internet-connected TVs, although that lineup does not include any broadcast networks.",1.0,20,35,0.1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Even with management that analysts acknowledge as competent, GCI is having a tough time. Cable and wireline revenues are down, while long-distance rates are dropping due to competition. And although wireless is doing well, GCI is earning less income from roaming charges.",0.0,1,42,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"In support,  Disney Channel last month cut a  series of interstitials featuring several members of the We Are Doc McStuf ns Project & Artemis Medical Society who share their personal stories with viewers to give them a better understanding of a real life doctor’s role.",1.0,18,47,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"Nowhere was that more evident than in the 2012 London Olympics, which have been called a “watershed” event in TV Ever y where progra mmi ng. NBCU ser ved 159.3 mi l lion v ideo streams across all providers and digital platforms from London, compared with 75.5 million from the Beijing Olympics in 2008. Of that total, 64.4 million were live streams, 353% more than Beijing’s 14 million. For the London games, users averaged 111.4 live  streaming minutes per viewer on the Web and 94.3 live  streaming minutes per viewer on the app.",1.0,0,95,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The top mobile applications used during peak hours in North America range from BitTorrent, Skype, Facebook and YouTube upstream to  Netflix and iTunes downstream.",0.0,7,25,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Multiplatform  video and time-shifted TV are growing ever more popular among users.,1.0,15,19,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"On page 4, a pie chart shows Sanford Bernstein‘s outlook for broadband connections by provider. What a diff erence a decade makes. On pages 6 and 8, take a look at the vast array of devices owned by a typical multichannel subscriber—and the services they clearly crave. All this is broken down by type of provider.",0.0,0,56,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"ONCE AGAIN, NBCUNIVERSAL IS looking at the Olympic Games as a gigantic Petri dish for  media research.",1.0,17,19,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"TV still holds the largest share of the ad budget and given what social TV can offer, advertisers will line up for this close proximity to fans. ■",1.0,20,28,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Episodes of Viacom cable shows to be available on the Amazon Prime Instant Videos service will include: MTV's The Hills, Jersey Shore, The Hard Times of RJ Berger and several seasons of The Real World;  Comedy Central 's Chappelle's Show and The Sarah Silverman Program; Nickelodeon's iCarly, Dora the Explorer, SpongeBob",1.0,17,52,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"FOR THOSE OF US WHO WATCH THE SUPER Bowl for the advertisements, one force outweighed everything else in last week's folly. Not the doggies (says a dog person); not even Betty.",1.0,17,31,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"The company also has been syndicating telecasts of top-level events to ESPN, the worldwide leader's broadband service ESPN3 and Fox Sports, as well as disseminating live, tape-delay and  video - on - demand coverage to Comcast, Time Warner Cable and Charter Communications.",0.0,8,43,0.1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Synacor cites its main competition as in-house information technology staffs at MSOs and telcos that roll their own Web solutions. Other competitors include major portal operators Yahoo,  Google , AOL and MSN.",0.0,7,33,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"In November, SeaChange founder, chairman and CEO Bill Styslinger left the company and Rau, a member of the board, assumed CEO duties on an interim basis. Earlier this month, SeaChange named Michael Bornak, previously chief financial officer of Toll-grade, as its CFO. He replaced Kevin Bisson, who left the company to join Mercury Computer Systems as CFO. ■",0.0,1,58,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Not all analysts were entirely convinced that Viacom can turn around the ad situation quickly. In a research report Thursday, Morgan Stanley  media analyst Ben Swinburne noted that consensus estimates for the fiscal second quarter are for 4% to 5% ad sales growth, which he __nds hard to reach given continued ratings declines at Nick and MTV. He estimated the two networks’ ratings ratings were down 22% and 19%, respectively, in live key demos.",1.0,20,75,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Consumers continue to complain about a lack of a unified TV Everywhere interface for all devices; confusion stemming from widely varying digital offerings, in which  content is made available on some platforms, but not others; and the authentication process that grants them the right to view specific programs.",1.0,15,49,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"For starters, the number of consumer devices in the market that can easily be connected to the Internet to access  online or mobile  video has reached a critical mass. Between the third quarter of 2010 and 2011, the number of tablets in the U.S. skyrocketed by 488%, to 20 million; the number of over-the-top boxes such as Roku or Apple TV jumped 253%, to 6 million;  video streaming -enabled game consoles increased by 34%, to 61.6 million; and smart phones spiked by 47%, to nearly 105.7 million in the U.S., according to Magna Global, with more on the way.",1.0,15,102,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"The  video game industry also should take advantage of brilliant 4K screens for ul-tra-realistic games, Oakley said. “Initially I think it will be gaming consoles and the game producers moving to 4K,” he said. “It's going to be Grand Theft Auto 4K or Call of Duty 4K.”",0.0,5,48,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,"One of the bigger projects on which LeBas, 52, played a crucial role was in the marketing of the network's WatchESPN application, which launched in the fall of 2010. The application allows users to watch live sports events and ESPN programming on a computer, mobile phone or tablet. ESPN was the first network to offer live, 24-hour  streaming of network programming on these devices.",0.0,7,65,0.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Markham Erickson is executive director of NetCoalition, which has been battling the PROTECT IP Act (PIPA) and the Stop  Online Protection Act (SOPA) on behalf of a membership that includes Web giants  Google and Yahoo! Erickson said he is ready to talk directly with the Hollywood studios that advocate for the bills, designed to prevent off-shore websites from stealing copyrighted  content , but said they need to make the first move.",0.0,11,74,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,"RBC Capital Markets analyst David Bank said what's missing from the equation is a search algorithm that finds not only the specific show that a user is looking for but, like  Netflix or iTunes, seeks out  content that the user doesn't know about but might like to watch. “If they could crack that code, they would be the first to do it efficiently,” Bank said of developing a broader recommendation engine. “That would be an interesting product.” Tanner said that discovering new programming is an integral part of the site — for example, its Social Power Rankings list the 10 most talked-about shows on the site, fan pages, Facebook and Twitter. In addition, smart recommendations will roll out this year.",1.0,19,122,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Given the recent popularity of sports  documentaries for ESPN, HBO Sports and other programmers, producer Eric Drath, who won an Emmy for the HBO boxing documentary Assault in the Ring, said there are opportunities for the league networks to “get a wider audience and grow the fan base.",1.0,17,49,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The indictment came only hours after a Web-led protest last Wednesday of legislation that would give the Justice Department more power to combat  online video piracy.,0.0,11,27,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Several members of the analyst community are looking at strong affiliate-fee revenue growth and slight advertising increases to rule the day in 2012.,0.0,1,23,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Additional 3DTV events — such as NBC's plans to offer the 2012 London Olympic Games in 3D to U.S. distributors — will help grow awareness, the panelists said. “That raises the water in the bathtub for everybody,” Burns said.",1.0,15,39,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Butnone of the vendors announcedpricingfortheir  Google TV products. It's a critical question, since a key reason consumers ignored the first round of  Google TVs was because they cost up to $400 more than models without the embedded software.",1.0,15,40,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Opponents of SOPA, which include search engines —  Google most prominently — and consumer-electronics companies, have argued that the increased authority it gives  content providers to combat alleged piracy, including the ability to obtain a court's approval to block access to the domain names of allegedly infringing sites, threatens the openness and even the viability of the Internet.  Content owners suggest that charge is alarmist and unfounded.",0.0,11,70,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"IT'S A BURNING QUESTION ON MANY marketers’ minds: What effect do ads have across TV,  online and mobile devices?",1.0,15,20,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"In the meantime, the FCC can operate with three commissioners — it has done so in the past — though Republican Commissioner Robert McDowell could theoretically hold up votes at public meetings by leaving the room, which would result in the lack of a quorum.",0.0,11,45,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"We're AirPlay for everybody else,” said Shodogg CEO Herb Mitschele, referring to a feature of the Apple TV set-top that streams  content from iPads and iPhones to television sets.",1.0,15,30,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"The Winter X Games Aspen 201 aired Jan. 26-29 across ESPN, ESPN2, ESPN 3D and the WatchESPN  online portal. A portion of the promos for the Winter X Games, which featured snowboarding and skiing stunt competitions, were also Shazam-enabled. The Shazam app identifies  content , such as a TV program or song, using an audio-recognition algorithm.",1.0,15,58,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Cine Sony Television is an adrenaline-fueled Spanish-language network that brings together the best Hollywood  movies , hottest Latin TV  series and a global roster of Latin music artists. It is the premier movie experience for the US Latino audience featuring featuring Hollywood blockbusters: uncut and uncensored.",1.0,19,48,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The new award for Leadership in Hispanic Television is being introduced in celebration of the summit's 10th anniversary. It acknowledges a single company or organization for its extraordinary efforts to serve Hispanic viewers. The Award for Outstanding Achievement in Hispanic Television will be presented to an individual.,1.0,19,47,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"People expect broadband and that's going to be central. So if you look at systems that have a future and systems that are gonna have a hard time, broadband I think is going to be the defining factor.",0.0,2,38,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"BET founder Robert Johnson made some news with a bold statement to the  media the other day. He predicted the demise of pay TV's big programming package within two or three years, saying inexorable pressure from  online services like  Netflix and  Hulu will compel cable and satellite TV providers to offer their customers smaller  video packages.",0.0,0,61,0.3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Q&A Last week, Comcast's NBCUniversal joint venture bought the 50% interest in website msnbc.com it didn't already own from  Microsoft for an estimated $300 million, ending a 16-year partnership that began with the 1996 launch of cable channel MSNBC. ( Microsoft sold its interest in the cable channel in 2005.) The msnbc.com site will become NBCNews.com, under the umbrella of a new organization, NBC News Digital, encompassing all of the news division's Web properties and headed by a longtime industry veteran, NBC News senior vice president and chief digital officer Vivian Schiller. (The msnbc.com site will relaunch in 2013.) Schiller, who has served stints as CEO of National Public Radio, general manager ofNYTimes.com and general manager of  Discovery Times Channel, took time out last week to answer email questions from Multichannel News senior finance editor Mike Farrell.",0.0,1,127,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,The headline on one of his many June 9 filings looked oddly familiar: “CFA Brands Spec-trumCo Deal End of ‘96 Act's Competitive Promise.”,0.0,8,23,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,American Cable Association president and CEO Matt Polka more explicitly said the trade group — which represents smaller cable operators — is hoping Aereo's legal battle changes the current state of retrans.,0.0,8,32,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"We'll blow these records away” once  Netflix debuts an exclusive season of Arrested Development and a remake of the BBC's House of Cards, Hastings bragged in a Face-book post.",1.0,16,30,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"If you think the government should decide the level of service and channel locations for the carriage of cable networks, then you favor the FCC's orders as they stand. If you think those decisions are better left to the marketplace to decide, then you oppose the FCC's decisions. Some things really are that simple.” “Mike”",0.0,11,55,0.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The job cuts had nothing to do with  Verizon Wireless , Young maintained. “That said, a growing number of Americans are wireless-only,” he said. “In addition, many have several wireless devices [smartphones, iPads etc.] And those devices are using more and more spectrum.”",0.0,0,44,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Have you heard? Apple is cooking up a sexy, wirelessly connected Internet TV with voice and gesture controls, packed with a slew of rich, TV-optimized apps — which will forever change the way people watch and interact with television.",1.0,0,39,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"Since the UFC has a younger-skewing audience, King said, its fans are more likely to view  content online or via mobile devices. “Digital has evolved [along with] what you can do in the digital space,” she said. “Bandwidth isnow huge and very accessible, so you can put everything  online that primarily you could only put on television before.”",0.0,0,60,0.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"WHEN A FEDERAL COMMUNICATIONS COMmission administrative law judge ruled last Dec. 16 that Comcast has discriminated against the Tennis Channel, he smacked the legal equivalent of a clean ace down the middle.",0.0,11,32,0.1
