scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,paragraph,label,Bottid,year,word_count,number_of_types
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,A Warner Bros.  Discovery spokesman confirmed that  Discovery Plus would continue to exist as a low-priced option for consumers. The service would maintain a connection with  Discovery fans and provide a pipeline for marketing and data collection.,2.0,27.0,,40,0.3
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Patnekar is a champion of Charter’s diversity and inclusion (D&I) strategy. Using a combination of D&I principles and mentorship, many of his team members have seen their aspirations grow and careers develop. He strives to maintain a culture of open communications, rooted in respect and collaboration, that supports the business at the highest level.",2.0,25,,54,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Xumo is designed to protect cable’s core broadband product and maintain its prominent position on the home screen while gathering all of the rich data that targeted advertisers so crave these days.,2.0,29,,32,0.1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"We have held good faith negotiations with MLB for several months to renew our deal to continue carrying their  content on YouTube TV. Unfortunately, despite our best efforts, we were unable to reach a new agreement before our existing one expired,” a YouTube TV spokesperson said. “Starting today, January 31, 2023, the MLB Network will no longer be available on YouTube TV.”",1.0,17.0,,63,0.3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"The  National Association for Multi-Ethnicity in Communications honored its 2023 Annual Awards recipients during the  37th Annual NAMIC Conference in New York on September 20. This year’s theme — “Our Legacy, A Mosaic of Possibilites” — honored NAMIC’s efforts to empower diversity, equity, access and inclusion in the  media , entertainment, and technology industries, as embodied by the recipient of each award.",2.0,25,,65,0.3
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"YouTube TV allows us to transition away from higher-cost, low-margin  video to a higher-margin service with an even greater mix of channels for our customers,” Elder said. “What we are doing is unique among cable operators and is giving customers more of what they really want at a much better price.”",0.0,1,,52,0.3
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Metadata enables customized features for connected vehicles,2.0,27,,13,0.5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The four-part, eight-hour  film series will celebrate Black cultural icons, pioneers and activists and their impact, influence and legacies in fashion, music,  film and dance, according to the network.",2.0,25.0,,31,0.2
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"There is a great affinity in the Black community to produce  content where we can tell our own stories and narratives, and we’re grateful that Lifetime has created the platform to allow African-American actors and producers to have a stage to share our talents not only for the Black community but with the rest of the world,” he said.",2.0,25,,60,0.3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"McAfee said that digital  media is able to reach millions of people, which ESPN in linear is still, at this point, attracting more people than ever.",1.0,18,,27,0.2
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"The  Emmy Awards will not take place in September, according to published reports, with  the WGA and SAG-AFTRA strikes ongoing. Fox is lined up to air the 2023 Emmys, which was set for September 18.",2.0,30,,37,0.4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Nathanson notes that  the current   Disney bundle of  Hulu ,  Disney Plus and ESPN Plus has a churn rate lower than  Netflix and three times lower than the rest of the  streaming industry.",2.0,0,,40,0.2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CTV is gaining while traditional TV remains under pressure from cord-cutting and consumers shifting to  streaming .,0.0,10,,18,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Gray TV also chimes in about CBS’s FuboTV deal that left affiliates on the sidelines (UPDATED),2.0,25.0,,16,0.3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"CO: Yeah, I think the biggest kind — and I’m sure everyone here will understand when I say the biggest changes with — you know, Amazon is a giant global, I think the biggest employer in the world. It is a tech-driven company, that it comes out of Seattle, but it comes out of Silicon Valley culture. And that culture is just a lot different. A lot of the things that we assumed coming out of the studio space, everything was driven by our catalog and our legacy. At Amazon, it's really driven by an obsession with our customers. So it’s really how do we, as quickly as possible, drive value for customers inside our service? It’s a really different viewpoint.",2.0,26,,93,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Asked about the FCC’s attempts at  improving their broadband availability maps , Sohn said that would be one of her first orders of business.",0.0,2.0,,25,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Ever since introducing residential high-speed data services at scale in the late 1990s, the cable industry has been on a never-ending mission to deliver more data bits at faster speeds over blends of fiber-optic and coaxial cable distribution networks. Determined to maintain an impressive lead in U.S. residential broadband connectivity —  Leichtman Research Group has said cable companies currently command close to 67% of the market — industry strategists are working to elevate performance while they stave off threats from rivals that are extending high-capacity fiber networks deep into the nation’s neighborhoods.",0.0,2,,93,0.2
